school,x,y,province,city,class,colleage,zhuanye,firsttest,secondtest,book,http
武汉大学,114.354,30.53,湖北省,武汉市,理学,遥感信息工程学院,地图学与地理信息系统,地理信息系统基础、数据库原理,综合测试,《地理信息系统基础》龚健雅、《数据库系统概论》王珊,http://www.gs.whu.edu.cn/
中国科学院大学,116.678,40.405,北京市,北京市,理学,遥感与数字地球研究所,地图学与地理信息系统,思想政治理论、英语一、数学二、数据库原理、地理信息系统原理、C语言,综合测试,《地理信息系统基础教程》汤国安、《数据库系统概论》王珊、 《数据结构》,http://admission.ucas.ac.cn/
南京师范大学,118.905,32.1036,江苏省,南京市,理学,地理科学学院,地图学与地理信息系统,思想政治理论、英语一、数据库原理、地理信息系统原理、C语言,高等数学,《地理信息系统基础教程》汤国安、《数据库系统概论》王珊、 《数据结构》,http://grad.njnu.edu.cn/
北京师范大学,116.3597,39.96,北京市,北京市,理学,地理科学学部,地图学与地理信息系统,遥感学原理、地理信息系统,综合测试,《遥感应用分析原理与方法》、《地理信息系统导论》,http://graduate.bnu.edu.cn/
南京大学,118.774,32.0581,江苏省,南京市,理学,地理与海洋科学学院,地图学与地理信息系统,地理信息系统基础,C语言程序设计,《地理信息系统概论》黄杏元、,http://grawww.nju.edu.cn/
浙江大学,120.11876,30.26649,浙江省,杭州市,理学,地球科学学院,地图学与地理信息系统,地图学、地理信息系统,综合测试,《新编地图学导论》、《地理信息系统》,http://grs.zju.edu.cn/
兰州大学,103.8575,36.0468,甘肃省,兰州市,理学,资源环境学院,地图学与地理信息系统,地图学、地理信息系统、遥感数字图像处理,综合测试,《现代地图学教程》袁堪省、《遥感数字图像处理教程》韦玉春、《地理信息系统教程》汤国安,http://ge.lzu.edu.cn/
中山大学,113.2943,23.1,广东省,广州市,理学,地理科学与规划学院,地图学与地理信息系统,地理信息系统、遥感,综合测试,《地理信息系统概论》、《遥感导论》,http://graduate.sysu.edu.cn/
中南大学,112.92496,28.17268,湖南省,长沙市,理学,地球科学与信息物理学院,地理信息系统,思想政治理论、英语一、数学二、地理信息系统,综合测试,《地理信息系统-原理方法与应用》邬伦,http://gra.its.csu.edu.cn/zndxyjsgl/
中国地质大学,114.395,30.520921,湖北省,武汉市,工学,信息工程学院,地图制图学与地理信息工程,思想政治理论、英语一 、数学一、地理信息系统原理及应用 ,*,*,http://graduate.cug.edu.cn/
山东科技大学,120.1148,36.00128,山东省,青岛市,理学,测绘科学与工程学院?,地图学与地理信息系统,思想政治理论、英语一、数学二、地理信息系统,地理信息综合（含数据结构，现代地图学）,《地理信息系统概论》黄杏元,http://yjsy.sdkd.net.cn/
东北师范大学,125.32144,43.85525,吉林省,长春市,理学,?地理科学学院,地图学与地理信息系统,思想政治理论、英语一或俄语或日语、数学、遥感与地理信息系统（地）,遥感应用、地理信息系统应用,*,http://yjsy.nenu.edu.cn/
吉林大学,125.27323,43.82057,吉林省,长春市,理学,地球探测科学与技术学院,地图学与地理信息系统,思想政治理论、英语一或俄语或日语、数学二、遥感信息科学概论或地球科学概论,地理信息系统原理,*,http://yjsy.jlu.edu.cn/
北京林业大学,116.3385,40.0039,北京市,北京市,理学,林学院,地图学与地理信息系统,思想政治理论、英语一、高等数学、测绘地理信息学基础,3S技术与应用,《3S技术在林业上的应用》冯仲科编写,http://graduate.bjfu.edu.cn/
中国海洋大学,120.49294,36.162,山东省,青岛市,理学,信息科学与工程学院,地图学与地理信息系统,*,*,*,http://grad.ouc.edu.cn/
中国矿业大学,117.13845,34.2162,江苏省,徐州市,理学,资源与地球科学学院,地图学与地理信息系统 ,思想政治理论、英语一或 德语（二外）、 高等数学 、地理信息系统,地球信息科学,"《新编大学德语》第 2版、《高等数学》第六版、《地理信息系统教程》 汤国安编著、《空间分析与建模》 杨慧编著

",http://yjsb.cumt.edu.cn/
华南农业大学,113.3512,23.1625,广东省,广州市,理学,资源环境学院,地图学与地理信息系统,思想政治理论、英语一、数学三、遥感概论或地理信息系统,*,《遥感导论》梅安新编著；《遥感概论》 吕国楷编著、《遥感应用分析原理与方法》赵英时编著,http://yjsy.scau.edu.cn/
同济大学,121.49695,31.28578,上海市,上海市,工学,测绘与地理信息学院,测绘科学与技术,思想政治理论、英语一、俄语、日语、德语、法语任选一门、数学一 、测绘科学技术基础、材料力学与结构力学、计算机学科专业基础综合、数学分析、普通物理、交通运输工程基础任选一门 ,测绘科学与技术 ,《现代大地控制测量》施一民著、《摄影测量学》张剑清编著、《地理信息系统（原理、方法和应用）》邬伦编著、《测量学》程效军编著、《误差理论与测量平差基础（第三版） 》、《误差理论与测量平差基础习题集》、《地理信息系统--原理、方法和应用》 邬伦编著,http://gs.tongji.edu.cn/
