编号,医院名称,拼音,所属城区,邮编,日门诊量(2010),日门诊量(2009),日门诊量(2008),地址,电话,X,Y,医院等级
1,卢沟桥医院,lu gou qiao yi yuan,丰台区,100072,500,300,100,北京市丰台区晓月苑清音街１号,1083211441,116.240227,39.838136,1
2,玉泉医院,yu quan yi yuan,石景山区,100041,1000,800,600,北京市石景山区石景山路５号,1088257755,116.24658,39.907778,2
3,二龙路医院,er long lu yi yuan,西城区,100032,450,250,50,北京市西城区二龙路下岗胡同１号,1066014447,116.366238,39.91041,2
4,儿童医院,er tong yi yuan,西城区,100045,800,600,400,北京市西城区复兴门北大街,1068028401,116.356184,39.912765,3
5,复兴医院,fu xing yi yuan,西城区,100038,6000,5800,5600,北京市西城区复兴门外大街１４号,1088062158,116.339846,39.906096,3
6,协和医院西院,xie he yi yuan xi yuan,西城区,100032,10000,9800,9600,北京市西城区大木仓胡同４１号,1088068177,116.36736,39.912075,1
7,广内医院,guang nei yi yuan,宣武区,100053,6000,5800,5600,北京市宣武区校场五条４９号,1063037685,116.371501,39.894329,1
8,广外医院,guang wai yi yuan,宣武区,100055,5000,4800,4600,北京市宣武区三义里甲２,1063467831,116.330924,39.888597,1
9,回民医院,hui min yi yuan,宣武区,100054,800,600,400,北京市宣武区右安门内大街１１号,1063527755,116.363468,39.882025,2
10,首都医科大学宣武医院,shou du yi ke da xue xuan wu yi yuan,宣武区,100053,2000,1800,1600,北京市宣武区长椿街４５号,1063012835,116.36314,39.891696,3
11,宣武区白云路医院,xuan wu qu bai yun lu yi yuan,宣武区,100055,800,600,400,北京市宣武区莲花池东路１,1063261607,116.340084,39.896749,1
12,宣武老年病医院,xuan wu lao nian bing yi yuan,宣武区,100053,800,600,400,北京市宣武区上斜街甲６１,1063155721,116.370468,39.898056,1
13,中医研究院广安门医院,zhong yi yan jiu yuan guang an men yi yuan,宣武区,100053,500,300,100,北京市宣武区北线阁５号,1063013311,116.352985,39.890832,3
14,宝仁中医院,bao ren zhong yi yuan,丰台区,100055,1000,800,600,北京市丰台区莲花池南里１４,1063460856,116.312151,39.887658,1
15,长峰医院,chang feng yi yuan,丰台区,100071,1500,1300,1100,北京市丰台区靛厂路,1088246570,116.280435,39.88924,1
16,电力总医院,dian li zong yi yuan,丰台区,100071,2000,1500,1300,北京市丰台区太平桥西里甲一号,1063465865,116.315031,39.886223,3
17,丰台区医院,feng tai qu yi yuan,丰台区,100071,2500,2000,1800,北京市丰台区西安街１号,1063811115,116.278809,39.848774,2
18,广济医院,guang ji yi yuan,丰台区,100071,3000,2500,2300,北京市丰台区丰台东路,1083617273,116.329913,39.848233,1
19,和平医院,he ping yi yuan,丰台区,100054,3500,3000,2800,北京市丰台区西铁营甲９８号,1083541590,116.353075,39.858715,1
20,丽泽医院,li ze yi yuan,丰台区,100071,4000,3500,3300,北京市丰台区丽泽路９８号,1063307560,116.318001,39.866873,1
21,卢沟桥国医院,lu gou qiao guo yi yuan,丰台区,100073,4500,4000,3800,北京市丰台区丰台路口东里１９８号,1063895288,116.284997,39.871341,1
22,医星医院,yi xing yi yuan,丰台区,100071,5000,4500,4300,北京市丰台区丰台东大街游池场北路甲９号,1063846847,116.291831,39.855436,1
23,右安门医院,you an men yi yuan,丰台区,100071,5500,5000,4800,北京市丰台区右安门外大街１９９号,1083511133,116.362823,39.859177,1
24,佑安医院,you an yi yuan,丰台区,100071,6000,5500,5300,北京市丰台区右安门外西头条８号,1083996599,116.355913,39.867574,1
25,右外医院,you wai yi yuan,丰台区,100071,1000,800,600,北京市丰台区开阳里二街１,1063554840,116.368787,39.866874,1
26,航天中心医院,hang tian zhong xin yi yuan,石景山区,100041,2000,1800,1600,北京市石景山区玉泉路１５号,1068763752,116.252606,39.916584,2
27,水利部北京总医院,shui li bu bei jing zong yi yuan,海淀区,100036,3000,2800,2600,北京市海淀区玉渊潭南路１９号,1088614818,116.307942,39.912988,2
