name,wgs84lon,wgs84lat,bed
湖北省中西医结合医院,114.2680906,30.6101715,680
武汉广爱医院,114.2517827,30.63726687,200
商职医院,114.286265,30.5708404,500
武汉市红十字会医院,114.2676812,30.6165113,500
江汉中西医结合医院,114.2887539,30.57619082,60
武汉市怡和医院,114.2419805,30.62477211,50
武汉百姓医院,114.2426076,30.61701434,180
华科学同济医学院附属协和医院,114.2693411,30.5865146,4800
民意医院,114.273171,30.57722232,100
湖北省中西医结合医院民航分院,114.2339795,30.63005903,50
武汉中阳中医医院,114.2537513,30.61448269,200
武汉市优抚医院,114.2552452,30.61850947,650
武汉华茂医院,114.2383748,30.62078221,120
武汉市中心医院(后湖院区),114.2601395,30.63085488,200
